Castanhal;n_arvore;n_do_ourico;n_de_sementes_por_fruto_ourico;Peso_total_das_sementes_dos_10 frutos_ouricos_Kg;UC;Ano
Davi;285;10;21;;Cazumba;2018
Davi;312;1;19;1.386;Cazumba;2018
Davi;312;2;23;;Cazumba;2018
Davi;312;3;17;;Cazumba;2018
Davi;312;4;17;;Cazumba;2018
Davi;312;5;21;;Cazumba;2018
Davi;312;6;15;;Cazumba;2018
Davi;312;7;21;;Cazumba;2018
Davi;312;8;19;;Cazumba;2018
Davi;312;9;17;;Cazumba;2018
Davi;312;10;17;;Cazumba;2018
Davi;361;1;17;1.862;Cazumba;2018
Davi;361;2;19;;Cazumba;2018
Davi;361;3;19;;Cazumba;2018
Davi;361;4;32;;Cazumba;2018
Davi;361;5;17;;Cazumba;2018
Davi;361;6;17;;Cazumba;2018
Davi;361;7;20;;Cazumba;2018
Davi;361;8;22;;Cazumba;2018
Davi;361;9;20;;Cazumba;2018
Davi;361;10;20;;Cazumba;2018
Mariazinha;227;1;14;1.106;Cazumba;2018
Mariazinha;227;2;10;;Cazumba;2018
Mariazinha;227;3;17;;Cazumba;2018
Mariazinha;227;4;14;;Cazumba;2018
Mariazinha;227;5;15;;Cazumba;2018
Mariazinha;227;6;16;;Cazumba;2018
Mariazinha;227;7;17;;Cazumba;2018
Mariazinha;227;8;18;;Cazumba;2018
Mariazinha;227;9;17;;Cazumba;2018
Mariazinha;227;10;20;;Cazumba;2018
Mariazinha;230;1;22;1.944;Cazumba;2018
Mariazinha;230;2;20;;Cazumba;2018
Mariazinha;230;3;18;;Cazumba;2018
Mariazinha;230;4;18;;Cazumba;2018
Mariazinha;230;5;21;;Cazumba;2018
Mariazinha;230;6;19;;Cazumba;2018
Mariazinha;230;7;20;;Cazumba;2018
Mariazinha;230;8;15;;Cazumba;2018
Mariazinha;230;9;17;;Cazumba;2018
Mariazinha;230;10;16;;Cazumba;2018
Mariazinha;217;1;24;1.976;Cazumba;2018
Mariazinha;217;2;23;;Cazumba;2018
Mariazinha;217;3;24;;Cazumba;2018
Mariazinha;217;4;19;;Cazumba;2018
Mariazinha;217;5;22;;Cazumba;2018
Mariazinha;217;6;20;;Cazumba;2018
Mariazinha;217;7;24;;Cazumba;2018
Mariazinha;217;8;21;;Cazumba;2018
Mariazinha;217;9;20;;Cazumba;2018
Mariazinha;217;10;22;;Cazumba;2018
Mariazinha;222;1;12;1.964;Cazumba;2018
Mariazinha;222;2;19;;Cazumba;2018
Mariazinha;222;3;17;;Cazumba;2018
Mariazinha;222;4;12;;Cazumba;2018
Mariazinha;222;5;16;;Cazumba;2018
Mariazinha;222;6;21;;Cazumba;2018
Mariazinha;222;7;16;;Cazumba;2018
Mariazinha;222;8;20;;Cazumba;2018
Mariazinha;222;9;21;;Cazumba;2018
Mariazinha;222;10;18;;Cazumba;2018
Mariazinha;246;1;19;1.904;Cazumba;2018
Mariazinha;246;2;20;;Cazumba;2018
Mariazinha;246;3;20;;Cazumba;2018
Mariazinha;246;4;16;;Cazumba;2018
Mariazinha;246;5;18;;Cazumba;2018
Mariazinha;246;6;18;;Cazumba;2018
Mariazinha;246;7;21;;Cazumba;2018
Mariazinha;246;8;20;;Cazumba;2018
Mariazinha;246;9;17;;Cazumba;2018
Mariazinha;246;10;17;;Cazumba;2018
Zirmao;432;1;24;1.675;Cazumba;2019
Zirmao;432;2;21;;Cazumba;2019
Zirmao;432;3;25;;Cazumba;2019
Zirmao;432;4;22;;Cazumba;2019
Zirmao;432;5;23;;Cazumba;2019
Zirmao;432;6;19;;Cazumba;2019
Zirmao;432;7;20;;Cazumba;2019
Zirmao;432;8;19;;Cazumba;2019
Zirmao;432;9;24;;Cazumba;2019
Zirmao;432;10;14;;Cazumba;2019
Zirmao;415;1;25;1.915;Cazumba;2019
Zirmao;415;2;24;;Cazumba;2019
Zirmao;415;3;19;;Cazumba;2019
Zirmao;415;4;19;;Cazumba;2019
Zirmao;415;5;22;;Cazumba;2019
Zirmao;415;6;23;;Cazumba;2019
Zirmao;415;7;19;;Cazumba;2019
Zirmao;415;8;15;;Cazumba;2019
Zirmao;415;9;23;;Cazumba;2019
Zirmao;415;10;19;;Cazumba;2019
Zirmao;437;1;19;1.625;Cazumba;2019
Zirmao;437;2;17;;Cazumba;2019
Zirmao;437;3;17;;Cazumba;2019
Zirmao;437;4;17;;Cazumba;2019
Zirmao;437;5;18;;Cazumba;2019
Zirmao;437;6;18;;Cazumba;2019
Zirmao;437;7;22;;Cazumba;2019
Zirmao;437;8;16;;Cazumba;2019
Zirmao;437;9;20;;Cazumba;2019
Zirmao;437;10;19;;Cazumba;2019
Zirmao;453;1;23;2.145;Cazumba;2019
Zirmao;453;2;25;;Cazumba;2019
Zirmao;453;3;19;;Cazumba;2019
Zirmao;453;4;22;;Cazumba;2019
Zirmao;453;5;20;;Cazumba;2019
Zirmao;453;6;23;;Cazumba;2019
Zirmao;453;7;18;;Cazumba;2019
Zirmao;453;8;20;;Cazumba;2019
Zirmao;453;9;18;;Cazumba;2019
Zirmao;453;10;20;;Cazumba;2019
Zirmao;423;1;18;1.600;Cazumba;2019
Zirmao;423;2;17;;Cazumba;2019
Zirmao;423;3;18;;Cazumba;2019
Zirmao;423;4;18;;Cazumba;2019
Zirmao;423;5;18;;Cazumba;2019
Zirmao;423;6;20;;Cazumba;2019
Zirmao;423;7;23;;Cazumba;2019
Zirmao;423;8;17;;Cazumba;2019
Zirmao;423;9;19;;Cazumba;2019
Zirmao;423;10;17;;Cazumba;2019
Coletivo;57;1;16;1420;Cazumba;2019
Coletivo;57;2;16;;Cazumba;2019
Coletivo;57;3;16;;Cazumba;2019
Coletivo;57;4;15;;Cazumba;2019
Coletivo;57;5;19;;Cazumba;2019
Coletivo;57;6;16;;Cazumba;2019
Coletivo;57;7;14;;Cazumba;2019
Coletivo;57;8;20;;Cazumba;2019
Coletivo;57;9;21;;Cazumba;2019
Coletivo;57;10;22;;Cazumba;2019
Coletivo;44;1;23;2.169;Cazumba;2019
Coletivo;44;2;18;;Cazumba;2019
Coletivo;44;3;27;;Cazumba;2019
Coletivo;44;4;19;;Cazumba;2019
Coletivo;44;5;18;;Cazumba;2019
Coletivo;44;6;15;;Cazumba;2019
Coletivo;44;7;27;;Cazumba;2019
Coletivo;44;8;24;;Cazumba;2019
Coletivo;44;9;24;;Cazumba;2019
Coletivo;44;10;22;;Cazumba;2019
Coletivo;46;1;7;1.403;Cazumba;2019
Coletivo;46;2;23;;Cazumba;2019
Coletivo;46;3;25;;Cazumba;2019
Coletivo;46;4;15;;Cazumba;2019
Coletivo;46;5;23;;Cazumba;2019
Coletivo;46;6;17;;Cazumba;2019
Coletivo;46;7;10;;Cazumba;2019
Coletivo;46;8;22;;Cazumba;2019
Coletivo;46;9;16;;Cazumba;2019
Coletivo;46;10;17;;Cazumba;2019
Coletivo;54;1;24;1.221;Cazumba;2019
Coletivo;54;2;21;;Cazumba;2019
Coletivo;54;3;19;;Cazumba;2019
Coletivo;54;4;15;;Cazumba;2019
Coletivo;54;5;13;;Cazumba;2019
Coletivo;54;6;20;;Cazumba;2019
Coletivo;54;7;16;;Cazumba;2019
Coletivo;54;8;18;;Cazumba;2019
