Castanhal;n_arvore;n_do_ourico;n_de_sementes_por_fruto_ourico;Peso_total_das_sementes_dos_10 frutos_ouricos_Kg;UC;Ano
Marizan;601;1;19;1.700;Cazumba;2019
Marizan;601;2;21;;Cazumba;2019
Marizan;601;3;19;;Cazumba;2019
Marizan;601;4;20;;Cazumba;2019
Marizan;601;5;19;;Cazumba;2019
Marizan;601;6;20;;Cazumba;2019
Marizan;601;7;19;;Cazumba;2019
Marizan;601;8;20;;Cazumba;2019
Marizan;601;9;18;;Cazumba;2019
Marizan;601;10;20;;Cazumba;2019
Marizan;603;1;22;2.700;Cazumba;2019
Marizan;603;2;24;;Cazumba;2019
Marizan;603;3;20;;Cazumba;2019
Marizan;603;4;27;;Cazumba;2019
Marizan;603;5;21;;Cazumba;2019
Marizan;603;6;19;;Cazumba;2019
Marizan;603;7;23;;Cazumba;2019
Marizan;603;8;27;;Cazumba;2019
Marizan;603;9;28;;Cazumba;2019
Marizan;603;10;24;;Cazumba;2019
Marizan;606;1;22;1.600;Cazumba;2019
Marizan;606;2;14;;Cazumba;2019
Marizan;606;3;20;;Cazumba;2019
Marizan;606;4;16;;Cazumba;2019
Marizan;606;5;19;;Cazumba;2019
Marizan;606;6;21;;Cazumba;2019
Marizan;606;7;19;;Cazumba;2019
Marizan;606;8;21;;Cazumba;2019
Marizan;606;9;19;;Cazumba;2019
Marizan;606;10;15;;Cazumba;2019
Marizan;609;1;20;1.125;Cazumba;2019
Marizan;609;2;16;;Cazumba;2019
Marizan;609;3;19;;Cazumba;2019
Marizan;609;4;22;;Cazumba;2019
Marizan;609;5;21;;Cazumba;2019
Marizan;609;6;21;;Cazumba;2019
Marizan;609;7;20;;Cazumba;2019
Marizan;609;8;22;;Cazumba;2019
Marizan;609;9;14;;Cazumba;2019
Marizan;609;10;20;;Cazumba;2019
Zirmao;432;1;21;1.645;Cazumba;2020
Zirmao;432;2;24;;Cazumba;2020
Zirmao;432;3;23;;Cazumba;2020
Zirmao;432;4;23;;Cazumba;2020
Zirmao;432;5;26;;Cazumba;2020
Zirmao;432;6;25;;Cazumba;2020
Zirmao;432;7;17;;Cazumba;2020
Zirmao;432;8;23;;Cazumba;2020
Zirmao;432;9;26;;Cazumba;2020
Zirmao;432;10;21;;Cazumba;2020
Zirmao;415;1;26;2.315;Cazumba;2020
Zirmao;415;2;24;;Cazumba;2020
Zirmao;415;3;24;;Cazumba;2020
Zirmao;415;4;21;;Cazumba;2020
Zirmao;415;5;27;;Cazumba;2020
Zirmao;415;6;25;;Cazumba;2020
Zirmao;415;7;27;;Cazumba;2020
Zirmao;415;8;22;;Cazumba;2020
Zirmao;415;9;24;;Cazumba;2020
Zirmao;415;10;27;;Cazumba;2020
Zirmao;437;1;20;1.655;Cazumba;2020
Zirmao;437;2;19;;Cazumba;2020
Zirmao;437;3;17;;Cazumba;2020
Zirmao;437;4;24;;Cazumba;2020
Zirmao;437;5;17;;Cazumba;2020
Zirmao;437;6;23;;Cazumba;2020
Zirmao;437;7;20;;Cazumba;2020
Zirmao;437;8;20;;Cazumba;2020
Zirmao;437;9;19;;Cazumba;2020
Zirmao;437;10;20;;Cazumba;2020
Zirmao;453;1;22;2150;Cazumba;2020
Zirmao;453;2;22;;Cazumba;2020
Zirmao;453;3;21;;Cazumba;2020
Zirmao;453;4;18;;Cazumba;2020
Zirmao;453;5;22;;Cazumba;2020
Zirmao;453;6;21;;Cazumba;2020
Zirmao;453;7;24;;Cazumba;2020
Zirmao;453;8;21;;Cazumba;2020
Zirmao;453;9;22;;Cazumba;2020
Zirmao;453;10;22;;Cazumba;2020
Zirmao;423;1;18;1.335;Cazumba;2020
Zirmao;423;2;16;;Cazumba;2020
Zirmao;423;3;13;;Cazumba;2020
Zirmao;423;4;17;;Cazumba;2020
Zirmao;423;5;15;;Cazumba;2020
Zirmao;423;6;15;;Cazumba;2020
Zirmao;423;7;16;;Cazumba;2020
Zirmao;423;8;22;;Cazumba;2020
Zirmao;423;9;14;;Cazumba;2020
Zirmao;423;10;18;;Cazumba;2020
Coletivo;57;1;19;1.159;Cazumba;2020
Coletivo;57;2;17;;Cazumba;2020
Coletivo;57;3;13;;Cazumba;2020
Coletivo;57;4;13;;Cazumba;2020
Coletivo;57;5;15;;Cazumba;2020
Coletivo;57;6;18;;Cazumba;2020
Coletivo;57;7;14;;Cazumba;2020
Coletivo;57;8;17;;Cazumba;2020
Coletivo;57;9;16;;Cazumba;2020
Coletivo;57;10;15;;Cazumba;2020
Coletivo;44;1;16;1.513;Cazumba;2020
Coletivo;44;2;16;;Cazumba;2020
Coletivo;44;3;16;;Cazumba;2020
Coletivo;44;4;19;;Cazumba;2020
Coletivo;44;5;15;;Cazumba;2020
Coletivo;44;6;18;;Cazumba;2020
Coletivo;44;7;21;;Cazumba;2020
Coletivo;44;8;18;;Cazumba;2020
Coletivo;44;9;17;;Cazumba;2020
Coletivo;44;10;24;;Cazumba;2020
Coletivo;46;1;18;1.524;Cazumba;2020
Coletivo;46;2;16;;Cazumba;2020
Coletivo;46;3;19;;Cazumba;2020
Coletivo;46;4;23;;Cazumba;2020
Coletivo;46;5;20;;Cazumba;2020
Coletivo;46;6;18;;Cazumba;2020
Coletivo;46;7;18;;Cazumba;2020
Coletivo;46;8;18;;Cazumba;2020
Coletivo;46;9;13;;Cazumba;2020
Coletivo;46;10;21;;Cazumba;2020
Coletivo;54;1;16;1.517;Cazumba;2020
Coletivo;54;2;22;;Cazumba;2020
Coletivo;54;3;18;;Cazumba;2020
Coletivo;54;4;20;;Cazumba;2020
Coletivo;54;5;24;;Cazumba;2020
Coletivo;54;6;18;;Cazumba;2020
Coletivo;54;7;23;;Cazumba;2020
Coletivo;54;8;17;;Cazumba;2020
Coletivo;54;9;23;;Cazumba;2020
Coletivo;54;10;18;;Cazumba;2020
Coletivo;165;1;18;1.019;Cazumba;2020
Coletivo;165;2;19;;Cazumba;2020
Coletivo;165;3;19;;Cazumba;2020
Coletivo;165;4;19;;Cazumba;2020
Coletivo;165;5;20;;Cazumba;2020
Coletivo;165;6;19;;Cazumba;2020
Coletivo;165;7;22;;Cazumba;2020
Coletivo;165;8;17;;Cazumba;2020
Coletivo;165;9;17;;Cazumba;2020
Coletivo;165;10;20;;Cazumba;2020
Davi;327;1;20;2300;Cazumba;2020
Davi;327;2;21;;Cazumba;2020
Davi;327;3;15;;Cazumba;2020
Davi;327;4;23;;Cazumba;2020
Davi;327;5;16;;Cazumba;2020
Davi;327;6;23;;Cazumba;2020
Davi;327;7;16;;Cazumba;2020
Davi;327;8;24;;Cazumba;2020
Davi;327;9;23;;Cazumba;2020
Davi;327;10;15;;Cazumba;2020
Davi;322;1;16;1400;Cazumba;2020
Davi;322;2;17;;Cazumba;2020
Davi;322;3;15;;Cazumba;2020
Davi;322;4;15;;Cazumba;2020
Davi;322;5;23;;Cazumba;2020
Davi;322;6;20;;Cazumba;2020
Davi;322;7;20;;Cazumba;2020
Davi;322;8;20;;Cazumba;2020
Davi;322;9;14;;Cazumba;2020
Davi;322;10;15;;Cazumba;2020
Davi;285-300;1;17;1700;Cazumba;2020
Davi;285-300;2;21;;Cazumba;2020
Davi;285-300;3;16;;Cazumba;2020
Davi;285-300;4;18;;Cazumba;2020
Davi;285-300;5;17;;Cazumba;2020
Davi;285-300;6;22;;Cazumba;2020
Davi;285-300;7;16;;Cazumba;2020
Davi;285-300;8;12;;Cazumba;2020
Davi;285-300;9;19;;Cazumba;2020
Davi;285-300;10;18;;Cazumba;2020
Davi;312;1;21;1400;Cazumba;2020
Davi;312;2;20;;Cazumba;2020
Davi;312;3;16;;Cazumba;2020
Davi;312;4;21;;Cazumba;2020
Davi;312;5;16;;Cazumba;2020
Davi;312;6;15;;Cazumba;2020
Davi;312;7;21;;Cazumba;2020
Davi;312;8;13;;Cazumba;2020
Davi;312;9;13;;Cazumba;2020
Davi;312;10;17;;Cazumba;2020
Davi;361;1;18;1700;Cazumba;2020
Davi;361;2;14;;Cazumba;2020
Davi;361;3;14;;Cazumba;2020
Davi;361;4;17;;Cazumba;2020
Davi;361;5;22;;Cazumba;2020
Davi;361;6;20;;Cazumba;2020
Davi;361;7;19;;Cazumba;2020
Davi;361;8;18;;Cazumba;2020
Davi;361;9;19;;Cazumba;2020
Davi;361;10;21;;Cazumba;2020
Mariazinha;227;1;16;1130;Cazumba;2020
Mariazinha;227;2;18;;Cazumba;2020
Mariazinha;227;3;14;;Cazumba;2020
Mariazinha;227;4;17;;Cazumba;2020
Mariazinha;227;5;18;;Cazumba;2020
Mariazinha;227;6;16;;Cazumba;2020
Mariazinha;227;7;17;;Cazumba;2020
Mariazinha;227;8;11;;Cazumba;2020
Mariazinha;227;9;13;;Cazumba;2020
Mariazinha;227;10;16;;Cazumba;2020
Mariazinha;230;1;15;1850;Cazumba;2020
Mariazinha;230;2;20;;Cazumba;2020
Mariazinha;230;3;19;;Cazumba;2020
Mariazinha;230;4;14;;Cazumba;2020
Mariazinha;230;5;15;;Cazumba;2020
Mariazinha;230;6;21;;Cazumba;2020
Mariazinha;230;7;17;;Cazumba;2020
Mariazinha;230;8;17;;Cazumba;2020
Mariazinha;230;9;18;;Cazumba;2020
Mariazinha;230;10;18;;Cazumba;2020
Mariazinha;217;1;25;1810;Cazumba;2020
Mariazinha;217;2;20;;Cazumba;2020
Mariazinha;217;3;22;;Cazumba;2020
Mariazinha;217;4;20;;Cazumba;2020
Mariazinha;217;5;25;;Cazumba;2020
Mariazinha;217;6;20;;Cazumba;2020
Mariazinha;217;7;24;;Cazumba;2020
Mariazinha;217;8;19;;Cazumba;2020
Mariazinha;217;9;23;;Cazumba;2020
Mariazinha;217;10;21;;Cazumba;2020
Mariazinha;222;1;18;1880;Cazumba;2020
Mariazinha;222;2;15;;Cazumba;2020
Mariazinha;222;3;19;;Cazumba;2020
Mariazinha;222;4;22;;Cazumba;2020
Mariazinha;222;5;16;;Cazumba;2020
Mariazinha;222;6;17;;Cazumba;2020
Mariazinha;222;7;17;;Cazumba;2020
Mariazinha;222;8;20;;Cazumba;2020
Mariazinha;222;9;14;;Cazumba;2020
Mariazinha;222;10;17;;Cazumba;2020
Mariazinha;246;1;21;1.735;Cazumba;2020
Mariazinha;246;2;18;;Cazumba;2020
Mariazinha;246;3;21;;Cazumba;2020
Mariazinha;246;4;21;;Cazumba;2020
Mariazinha;246;5;18;;Cazumba;2020
Mariazinha;246;6;16;;Cazumba;2020
Mariazinha;246;7;17;;Cazumba;2020
Mariazinha;246;8;22;;Cazumba;2020
Mariazinha;246;9;18;;Cazumba;2020
Mariazinha;246;10;18;;Cazumba;2020
Zequinha;673;1;;;Cazumba;2020
Zequinha;673;2;;;Cazumba;2020
Zequinha;673;3;;;Cazumba;2020
Zequinha;673;4;;;Cazumba;2020
Zequinha;673;5;;;Cazumba;2020
Zequinha;673;6;;;Cazumba;2020
Zequinha;673;7;;;Cazumba;2020
Zequinha;673;8;;;Cazumba;2020
Zequinha;673;9;;;Cazumba;2020
Zequinha;673;10;;;Cazumba;2020
Zequinha;683;1;22;1700;Cazumba;2020
Zequinha;683;2;19;;Cazumba;2020
Zequinha;683;3;20;;Cazumba;2020
Zequinha;683;4;21;;Cazumba;2020
Zequinha;683;5;18;;Cazumba;2020
Zequinha;683;6;22;;Cazumba;2020
Zequinha;683;7;19;;Cazumba;2020
Zequinha;683;8;20;;Cazumba;2020
Zequinha;683;9;21;;Cazumba;2020
Zequinha;683;10;18;;Cazumba;2020
Zequinha;714;1;22;2200;Cazumba;2020
Zequinha;714;2;20;;Cazumba;2020
Zequinha;714;3;19;;Cazumba;2020
Zequinha;714;4;21;;Cazumba;2020
Zequinha;714;5;18;;Cazumba;2020
Zequinha;714;6;22;;Cazumba;2020
Zequinha;714;7;20;;Cazumba;2020
Zequinha;714;8;19;;Cazumba;2020
Zequinha;714;9;21;;Cazumba;2020
Zequinha;714;10;;;Cazumba;2020
Zequinha;729;1;14;1800;Cazumba;2020
Zequinha;729;2;16;;Cazumba;2020
Zequinha;729;3;15;;Cazumba;2020
Zequinha;729;4;19;;Cazumba;2020
Zequinha;729;5;18;;Cazumba;2020
Zequinha;729;6;17;;Cazumba;2020
Zequinha;729;7;14;;Cazumba;2020
Zequinha;729;8;16;;Cazumba;2020
Zequinha;729;9;19;;Cazumba;2020
Zequinha;729;10;15;;Cazumba;2020
Zequinha;764;1;18;1800;Cazumba;2020
Zequinha;764;2;15;;Cazumba;2020
Zequinha;764;3;17;;Cazumba;2020
Zequinha;764;4;16;;Cazumba;2020
Zequinha;764;5;19;;Cazumba;2020
Zequinha;764;6;17;;Cazumba;2020
Zequinha;764;7;15;;Cazumba;2020
Zequinha;764;8;18;;Cazumba;2020
Zequinha;764;9;16;;Cazumba;2020
Zequinha;764;10;14;;Cazumba;2020
Zirmao 2;783;1;18;1.045;Cazumba;2020
Zirmao 2;783;2;18;;Cazumba;2020
Zirmao 2;783;3;24;;Cazumba;2020
Zirmao 2;783;4;20;;Cazumba;2020
Zirmao 2;783;5;16;;Cazumba;2020
Zirmao 2;783;6;15;;Cazumba;2020
Zirmao 2;783;7;18;;Cazumba;2020
Zirmao 2;783;8;15;;Cazumba;2020
Zirmao 2;783;9;15;;Cazumba;2020
Zirmao 2;783;10;18;;Cazumba;2020
Zirmao 2;798;1;19;1.805;Cazumba;2020
Zirmao 2;798;2;19;;Cazumba;2020
Zirmao 2;798;3;20;;Cazumba;2020
Zirmao 2;798;4;20;;Cazumba;2020
Zirmao 2;798;5;25;;Cazumba;2020
Zirmao 2;798;6;19;;Cazumba;2020
Zirmao 2;798;7;18;;Cazumba;2020
Zirmao 2;798;8;21;;Cazumba;2020
Zirmao 2;798;9;23;;Cazumba;2020
Zirmao 2;798;10;22;;Cazumba;2020
Zirmao 2;817;1;19;1650;Cazumba;2020
Zirmao 2;817;2;20;;Cazumba;2020
Zirmao 2;817;3;16;;Cazumba;2020
Zirmao 2;817;4;19;;Cazumba;2020
Zirmao 2;817;5;20;;Cazumba;2020
Zirmao 2;817;6;20;;Cazumba;2020
Zirmao 2;817;7;15;;Cazumba;2020
Zirmao 2;817;8;17;;Cazumba;2020
Zirmao 2;817;9;17;;Cazumba;2020
Zirmao 2;817;10;17;;Cazumba;2020
Zirmao 2;828;1;21;1.405;Cazumba;2020
Zirmao 2;828;2;20;;Cazumba;2020
Zirmao 2;828;3;22;;Cazumba;2020
Zirmao 2;828;4;16;;Cazumba;2020
Zirmao 2;828;5;17;;Cazumba;2020
Zirmao 2;828;6;21;;Cazumba;2020
Zirmao 2;828;7;17;;Cazumba;2020
Zirmao 2;828;8;24;;Cazumba;2020
Zirmao 2;828;9;19;;Cazumba;2020
Zirmao 2;828;10;20;;Cazumba;2020
Zirmao 2;843;1;19;1.645;Cazumba;2020
Zirmao 2;843;2;19;;Cazumba;2020
Zirmao 2;843;3;19;;Cazumba;2020
Zirmao 2;843;4;18;;Cazumba;2020
Zirmao 2;843;5;16;;Cazumba;2020
Zirmao 2;843;6;18;;Cazumba;2020
Zirmao 2;843;7;20;;Cazumba;2020
Zirmao 2;843;8;19;;Cazumba;2020
Zirmao 2;843;9;19;;Cazumba;2020
Zirmao 2;843;10;14;;Cazumba;2020
Irmaos Gamas;568;1;21;1550;Cazumba;2020
Irmaos Gamas;568;2;18;;Cazumba;2020
Irmaos Gamas;568;3;19;;Cazumba;2020
Irmaos Gamas;568;4;18;;Cazumba;2020
Irmaos Gamas;568;5;17;;Cazumba;2020
Irmaos Gamas;568;6;23;;Cazumba;2020
Irmaos Gamas;568;7;15;;Cazumba;2020
Irmaos Gamas;568;8;21;;Cazumba;2020
Irmaos Gamas;568;9;20;;Cazumba;2020
Irmaos Gamas;568;10;20;;Cazumba;2020
Irmaos Gamas;573;1;23;1100;Cazumba;2020
Irmaos Gamas;573;2;19;;Cazumba;2020
Irmaos Gamas;573;3;20;;Cazumba;2020
Irmaos Gamas;573;4;23;;Cazumba;2020
Irmaos Gamas;573;5;17;;Cazumba;2020
Irmaos Gamas;573;6;18;;Cazumba;2020
Irmaos Gamas;573;7;24;;Cazumba;2020
Irmaos Gamas;573;8;21;;Cazumba;2020
Irmaos Gamas;573;9;21;;Cazumba;2020
Irmaos Gamas;573;10;22;;Cazumba;2020
Irmaos Gamas;581;1;21;1600;Cazumba;2020
Irmaos Gamas;581;2;27;;Cazumba;2020
Irmaos Gamas;581;3;22;;Cazumba;2020
Irmaos Gamas;581;4;25;;Cazumba;2020
Irmaos Gamas;581;5;26;;Cazumba;2020
Irmaos Gamas;581;6;21;;Cazumba;2020
Irmaos Gamas;581;7;29;;Cazumba;2020
Irmaos Gamas;581;8;28;;Cazumba;2020
Irmaos Gamas;581;9;25;;Cazumba;2020
Irmaos Gamas;581;10;30;;Cazumba;2020
Irmaos Gamas;582;1;16;850;Cazumba;2020
Irmaos Gamas;582;2;17;;Cazumba;2020
Irmaos Gamas;582;3;18;;Cazumba;2020
Irmaos Gamas;582;4;18;;Cazumba;2020
Irmaos Gamas;582;5;20;;Cazumba;2020
Irmaos Gamas;582;6;19;;Cazumba;2020
Irmaos Gamas;582;7;19;;Cazumba;2020
Irmaos Gamas;582;8;15;;Cazumba;2020
Irmaos Gamas;582;9;14;;Cazumba;2020
Irmaos Gamas;582;10;14;;Cazumba;2020
Irmaos Gamas;587;1;16;1300;Cazumba;2020
Irmaos Gamas;587;2;20;;Cazumba;2020
Irmaos Gamas;587;3;17;;Cazumba;2020
Irmaos Gamas;587;4;22;;Cazumba;2020
Irmaos Gamas;587;5;17;;Cazumba;2020
Irmaos Gamas;587;6;18;;Cazumba;2020
Irmaos Gamas;587;7;17;;Cazumba;2020
Irmaos Gamas;587;8;18;;Cazumba;2020
Irmaos Gamas;587;9;20;;Cazumba;2020
Irmaos Gamas;587;10;17;;Cazumba;2020
Dimar;590;1;18;1.038;Cazumba;2020
Dimar;590;2;19;;Cazumba;2020
Dimar;590;3;21;;Cazumba;2020
Dimar;590;4;20;;Cazumba;2020
Dimar;590;5;19;;Cazumba;2020
Dimar;590;6;18;;Cazumba;2020
Dimar;590;7;20;;Cazumba;2020
Dimar;590;8;19;;Cazumba;2020
Dimar;590;9;20;;Cazumba;2020
Dimar;590;10;16;;Cazumba;2020
Dimar;591;1;22;1.354;Cazumba;2020
Dimar;591;2;19;;Cazumba;2020
Dimar;591;3;19;;Cazumba;2020
Dimar;591;4;16;;Cazumba;2020
Dimar;591;5;22;;Cazumba;2020
Dimar;591;6;15;;Cazumba;2020
Dimar;591;7;17;;Cazumba;2020
Dimar;591;8;20;;Cazumba;2020
Dimar;591;9;18;;Cazumba;2020
Dimar;591;10;21;;Cazumba;2020
Dimar;598;1;17;1.306;Cazumba;2020
Dimar;598;2;21;;Cazumba;2020
Dimar;598;3;19;;Cazumba;2020
Dimar;598;4;19;;Cazumba;2020
Dimar;598;5;15;;Cazumba;2020
Dimar;598;6;21;;Cazumba;2020
Dimar;598;7;20;;Cazumba;2020
Dimar;598;8;20;;Cazumba;2020
Dimar;598;9;19;;Cazumba;2020
Dimar;598;10;20;;Cazumba;2020
Dimar;595;1;21;1770;Cazumba;2020
Dimar;595;2;17;;Cazumba;2020
Dimar;595;3;22;;Cazumba;2020
Dimar;595;4;18;;Cazumba;2020
Dimar;595;5;19;;Cazumba;2020
Dimar;595;6;22;;Cazumba;2020
Dimar;595;7;17;;Cazumba;2020
Dimar;595;8;21;;Cazumba;2020
Dimar;595;9;20;;Cazumba;2020
Dimar;595;10;17;;Cazumba;2020
Dimar;596;1;;;Cazumba;2020
Dimar;596;2;;;Cazumba;2020
Dimar;596;3;;;Cazumba;2020
Dimar;596;4;;;Cazumba;2020
Dimar;596;5;;;Cazumba;2020
Dimar;596;6;;;Cazumba;2020
Dimar;596;7;;;Cazumba;2020
Dimar;596;8;;;Cazumba;2020
Dimar;596;9;;;Cazumba;2020
Dimar;596;10;;;Cazumba;2020
Marizan;600;1;25;2000;Cazumba;2020
Marizan;600;2;26;;Cazumba;2020
Marizan;600;3;26;;Cazumba;2020
Marizan;600;4;26;;Cazumba;2020
Marizan;600;5;24;;Cazumba;2020
Marizan;600;6;33;;Cazumba;2020
Marizan;600;7;33;;Cazumba;2020
Marizan;600;8;27;;Cazumba;2020
Marizan;600;9;23;;Cazumba;2020
Marizan;600;10;28;;Cazumba;2020
Marizan;601;1;22;1700;Cazumba;2020
Marizan;601;2;21;;Cazumba;2020
Marizan;601;3;21;;Cazumba;2020
Marizan;601;4;23;;Cazumba;2020
Marizan;601;5;22;;Cazumba;2020
Marizan;601;6;20;;Cazumba;2020
Marizan;601;7;21;;Cazumba;2020
Marizan;601;8;21;;Cazumba;2020
Marizan;601;9;20;;Cazumba;2020
Marizan;601;10;16;;Cazumba;2020
Marizan;603;1;19;2600;Cazumba;2020
Marizan;603;2;26;;Cazumba;2020
Marizan;603;3;27;;Cazumba;2020
Marizan;603;4;26;;Cazumba;2020
Marizan;603;5;26;;Cazumba;2020
Marizan;603;6;25;;Cazumba;2020
Marizan;603;7;21;;Cazumba;2020
Marizan;603;8;26;;Cazumba;2020
Marizan;603;9;28;;Cazumba;2020
Marizan;603;10;24;;Cazumba;2020
Marizan;606;1;20;1400;Cazumba;2020
Marizan;606;2;17;;Cazumba;2020
Marizan;606;3;13;;Cazumba;2020
Marizan;606;4;16;;Cazumba;2020
Marizan;606;5;15;;Cazumba;2020
Marizan;606;6;19;;Cazumba;2020
Marizan;606;7;15;;Cazumba;2020
Marizan;606;8;16;;Cazumba;2020
Marizan;606;9;17;;Cazumba;2020
Marizan;606;10;10;;Cazumba;2020
Marizan;609;1;15;1000;Cazumba;2020
Marizan;609;2;18;;Cazumba;2020
Marizan;609;3;19;;Cazumba;2020
Marizan;609;4;18;;Cazumba;2020
Marizan;609;5;16;;Cazumba;2020
Marizan;609;6;17;;Cazumba;2020
Marizan;609;7;17;;Cazumba;2020
Marizan;609;8;17;;Cazumba;2020
Marizan;609;9;27;;Cazumba;2020
Marizan;609;10;24;;Cazumba;2020
