Castanhal;n_da_castanheira;CAP;n_frutos_ouricos_produzidos;n_frutos_ouricos_acessados_pela_fauna;UC;Ano
Zirmao 2;841;;203;13;Cazumba;2019
Zirmao 2;843;;135;3;Cazumba;2019
Zirmao 2;859;;72;8;Cazumba;2019
Zirmao 2;860;;;;Cazumba;2019
Zirmao 2;867;;170;6;Cazumba;2019
Zirmao 2;872;;41;0;Cazumba;2019
Zirmao 2;876;;145;9;Cazumba;2019
Zirmao 2;882;;483;19;Cazumba;2019
Zirmão;415;2.75;248;10;Cazumba;2020
Zirmão;423;6.66;256;23;Cazumba;2020
Zirmão;432;4.49;830;5;Cazumba;2020
Zirmão;436;5.47;120;7;Cazumba;2020
Zirmão;438;1.94;4;2;Cazumba;2020
Zirmão;437;2.26;81;8;Cazumba;2020
Zirmão;447;2.92;157;1;Cazumba;2020
Zirmão;450;4.85;506;10;Cazumba;2020
Zirmão;453;4.21;360;13;Cazumba;2020
Zirmão;460;2.56;60;10;Cazumba;2020
Zirmão;461;3.5;280;16;Cazumba;2020
Zirmão;467;3.99;254;7;Cazumba;2020
Zirmão;475;3.94;204;3;Cazumba;2020
Zirmão;476;5.07;220;8;Cazumba;2020
Zirmão;478;3.93;320;15;Cazumba;2020
Zirmão;481;4.77;310;25;Cazumba;2020
Zirmão;497;1.77;133;6;Cazumba;2020
Zirmão;405;2.04;180;3;Cazumba;2020
Coletivo;57;;114;5;Cazumba;2020
Coletivo;55;;0;0;Cazumba;2020
Coletivo;54;;740;0;Cazumba;2020
Coletivo;51;;119;2;Cazumba;2020
Coletivo;46;;468;1;Cazumba;2020
Coletivo;44;;408;3;Cazumba;2020
Coletivo;43;;306;4;Cazumba;2020
Coletivo;40;;648;6;Cazumba;2020
Coletivo;110;;166;0;Cazumba;2020
Coletivo;109;;61;0;Cazumba;2020
Coletivo;117;;40;2;Cazumba;2020
Coletivo;137;;41;1;Cazumba;2020
Coletivo;141;;375;9;Cazumba;2020
Coletivo;139;;18;0;Cazumba;2020
Coletivo;149;;208;5;Cazumba;2020
Coletivo;157;;309;0;Cazumba;2020
Coletivo;165;;120;0;Cazumba;2020
Coletivo;174;;5;8;Cazumba;2020
Coletivo;7;;560;2;Cazumba;2020
Coletivo;9;;108;4;Cazumba;2020
Coletivo;11;;65;0;Cazumba;2020
Coletivo;19;;1;0;Cazumba;2020
Coletivo;17;;177;0;Cazumba;2020
Coletivo;21;;305;4;Cazumba;2020
Coletivo;26;;501;8;Cazumba;2020
Coletivo;81;;260;0;Cazumba;2020
Coletivo;85;;710;0;Cazumba;2020
Coletivo;92;;248;11;Cazumba;2020
Coletivo;89;;370;11;Cazumba;2020
Coletivo;118;;95;0;Cazumba;2020
Coletivo;119;;200;0;Cazumba;2020
Coletivo;120;;100;4;Cazumba;2020
Coletivo;175;;216;6;Cazumba;2020
Coletivo;186;;330;12;Cazumba;2020
Coletivo;182;;37;0;Cazumba;2020
Coletivo;180;;420;8;Cazumba;2020
Coletivo;192;;882;15;Cazumba;2020
Coletivo;198;;127;0;Cazumba;2020
Coletivo;199;;1220;16;Cazumba;2020
Coletivo;211;;40;0;Cazumba;2020
Davi;285;;;;Cazumba;2020
Davi;317;;9;2;Cazumba;2020
Davi;312;;55;1;Cazumba;2020
Davi;315;;30;1;Cazumba;2020
Davi;308;;30;0;Cazumba;2020
Davi;361;;630;12;Cazumba;2020
